"Medal_Type","Medal_Date","Full_Name","Sports","Event","Country","Code","Gender","Height","Weight","Birth_Date"
"Gold Medal",2024-08-02,"Beatriz SOUZA","Judo","Women +78 kg","Brazil",1953777,"Female",0,0,1998-05-20
"Silver Medal",2024-08-02,"Raz HERSHKO","Judo","Women +78 kg","Israel",1892796,"Female",0,0,1998-06-19
"Bronze Medal",2024-08-02,"KIM Hayun","Judo","Women +78 kg","Korea",1928070,"Female",0,0,2000-01-07
"Bronze Medal",2024-08-02,"Romane DICKO","Judo","Women +78 kg","France",1891300,"Female",0,0,1999-09-30
"Gold Medal",2024-08-02,"Chiara LEONE","Shooting","50m Rifle 3 Positions Women","Switzerland",1977709,"Female",0,0,1998-06-15
"Silver Medal",2024-08-02,"Sagen MADDALENA","Shooting","50m Rifle 3 Positions Women","United States",1944373,"Female",0,0,1993-08-16
"Bronze Medal",2024-08-02,"ZHANG Qiongyue","Shooting","50m Rifle 3 Positions Women","China",1913972,"Female",0,0,2004-03-12
"Gold Medal",2024-08-02,"Leon MARCHAND","Swimming","Men's 200m Individual Medley","France",1909294,"Male",0,0,2002-05-17
"Silver Medal",2024-08-02,"Duncan SCOTT","Swimming","Men's 200m Individual Medley","Great Britain",1903621,"Male",0,0,1997-05-06
"Bronze Medal",2024-08-02,"WANG Shun","Swimming","Men's 200m Individual Medley","China",1945186,"Male",0,0,1994-02-11
"Gold Medal",2024-08-02,"Cameron McEVOY","Swimming","Men's 50m Freestyle","Australia",1946161,"Male",0,0,1994-05-13
"Silver Medal",2024-08-02,"Benjamin PROUD","Swimming","Men's 50m Freestyle","Great Britain",1903616,"Male",0,0,1994-09-21
"Bronze Medal",2024-08-02,"Florent MANAUDOU","Swimming","Men's 50m Freestyle","France",1909292,"Male",0,0,1990-11-12
"Gold Medal",2024-08-02,"Kaylee McKEOWN","Swimming","Women's 200m Backstroke","Australia",1946198,"Female",0,0,2001-07-12
"Silver Medal",2024-08-02,"Regan SMITH","Swimming","Women's 200m Backstroke","United States",1935984,"Female",0,0,2002-02-09
"Bronze Medal",2024-08-02,"Kylie MASSE","Swimming","Women's 200m Backstroke","Canada",1967104,"Female",0,0,1996-01-18
"Bronze Medal",2024-08-02,"Iga SWIATEK","Tennis","Women's Singles","Poland",1931815,"Female",176,0,2001-05-31
"Silver Medal",2024-08-02,"WANG Zisai","Trampoline Gymnastics","Men","China",1918790,"Male",0,0,2006-06-18
"Bronze Medal",2024-08-02,"YAN Langyu","Trampoline Gymnastics","Men","China",1918789,"Male",0,0,1999-08-31
"Gold Medal",2024-08-02,"Bryony PAGE","Trampoline Gymnastics","Women","Great Britain",1904745,"Female",0,0,1990-12-10
"Bronze Medal",2024-08-02,"Sophiane METHOT","Trampoline Gymnastics","Women","Canada",1973102,"Female",0,0,1998-08-03
"Gold Medal",2024-08-03,"LIM Sihyeon","Archery","Women's Individual","Korea",1902147,"Female",0,0,2003-06-13
"Silver Medal",2024-08-03,"NAM Suhyeon","Archery","Women's Individual","Korea",1902148,"Female",0,0,2005-01-27
"Bronze Medal",2024-08-03,"Lisa BARBELIN","Archery","Women's Individual","France",1541265,"Female",0,0,2000-04-10
"Gold Medal",2024-08-03,"Carlos Edriel YULO","Artistic Gymnastics","Men's Floor Exercise","Philippines",1975874,"Male",0,0,2000-02-16
"Silver Medal",2024-08-03,"Artem DOLGOPYAT","Artistic Gymnastics","Men's Floor Exercise","Israel",1908195,"Male",0,0,1997-06-16
"Bronze Medal",2024-08-03,"Jake JARMAN","Artistic Gymnastics","Men's Floor Exercise","Great Britain",1904741,"Male",0,0,2001-12-03
"Gold Medal",2024-08-03,"Rhys MC CLENAGHAN","Artistic Gymnastics","Men's Pommel Horse","Ireland",1539986,"Male",0,0,1999-07-21
"Silver Medal",2024-08-03,"Nariman KURBANOV","Artistic Gymnastics","Men's Pommel Horse","Kazakhstan",1931577,"Male",0,0,1997-12-06
"Bronze Medal",2024-08-03,"Stephen NEDOROSCIK","Artistic Gymnastics","Men's Pommel Horse","United States",1959865,"Male",0,0,1998-10-28
"Gold Medal",2024-08-03,"Simone BILES","Artistic Gymnastics","Women's Vault","United States",1959861,"Female",0,0,1997-03-14
"Silver Medal",2024-08-03,"Rebeca ANDRADE","Artistic Gymnastics","Women's Vault","Brazil",1953634,"Female",0,0,1999-05-08
"Bronze Medal",2024-08-03,"Jade CAREY","Artistic Gymnastics","Women's Vault","United States",1959819,"Female",0,0,2000-05-27
"Gold Medal",2024-08-03,"Markus ROOTH","Athletics","Men's Decathlon","Norway",1878353,"Male",182,0,2001-12-22
"Silver Medal",2024-08-03,"Leo NEUGEBAUER","Athletics","Men's Decathlon","Germany",1920180,"Male",201,0,2000-06-19
"Bronze Medal",2024-08-03,"Lindon VICTOR","Athletics","Men's Decathlon","Grenada",1573388,"Male",185,0,1993-02-28
"Gold Medal",2024-08-03,"Ryan CROUSER","Athletics","Men's Shot Put","United States",1960688,"Male",200,0,1992-12-18
"Silver Medal",2024-08-03,"Joe KOVACS","Athletics","Men's Shot Put","United States",1965246,"Male",182,0,1989-06-28
"Bronze Medal",2024-08-03,"Rajindra CAMPBELL","Athletics","Men's Shot Put","Jamaica",1564189,"Male",178,0,1996-02-29
"Gold Medal",2024-08-03,"Julien ALFRED","Athletics","Women's 100m","Saint Lucia",1537325,"Female",170,0,2001-06-10
"Silver Medal",2024-08-03,"Sha'carri RICHARDSON","Athletics","Women's 100m","United States",1960181,"Female",157,0,2000-03-25
"Bronze Medal",2024-08-03,"Melissa JEFFERSON","Athletics","Women's 100m","United States",1961011,"Female",162,0,2001-02-21
"Gold Medal",2024-08-03,"Thea LAFOND","Athletics","Women's Triple Jump","Dominica",1908333,"Female",147,0,1994-04-05
"Silver Medal",2024-08-03,"Shanieka RICKETTS","Athletics","Women's Triple Jump","Jamaica",1536885,"Female",188,0,1992-02-02
"Bronze Medal",2024-08-03,"Jasmine MOORE","Athletics","Women's Triple Jump","United States",1965250,"Female",172,0,2001-05-01
"Bronze Medal",2024-08-03,"WU Shih Yi","Boxing","Women's 60kg","Chinese Taipei",1887970,"Female",174,0,1998-04-27
"Bronze Medal",2024-08-03,"Beatriz Iasmin SOARES FERREIRA","Boxing","Women's 60kg","Brazil",1952540,"Female",163,0,1992-12-09
"Gold Medal",2024-08-03,"Remco EVENEPOEL","Cycling Road","Men's Road Race","Belgium",1903136,"Male",0,0,2000-01-25
"Silver Medal",2024-08-03,"Valentin MADOUAS","Cycling Road","Men's Road Race","France",1895699,"Male",0,0,1996-07-12
"Bronze Medal",2024-08-03,"Christophe LAPORTE","Cycling Road","Men's Road Race","France",1895694,"Male",0,0,1992-12-11
"Gold Medal",2024-08-03,"Oliver ZEIDLER","Rowing","Men's Single Sculls","Germany",1906515,"Male",0,0,1996-07-24
"Bronze Medal",2024-08-03,"Simon van DORP","Rowing","Men's Single Sculls","Netherlands",1965599,"Male",0,0,1997-04-10
"Gold Medal",2024-08-03,"Karolien FLORIJN","Rowing","Women's Single Sculls","Netherlands",1965558,"Female",0,0,1998-04-06
"Silver Medal",2024-08-03,"Emma TWIGG","Rowing","Women's Single Sculls","New Zealand",1927027,"Female",0,0,1987-03-01
"Bronze Medal",2024-08-03,"Viktorija SENKUTE","Rowing","Women's Single Sculls","Lithuania",1941956,"Female",0,0,1996-04-12
"Gold Medal",2024-08-03,"Tom REUVENY","Sailing","Men's Windsurfing","Israel",1927680,"Male",0,0,2000-06-12
"Silver Medal",2024-08-03,"Grae MORRIS","Sailing","Men's Windsurfing","Australia",1945982,"Male",0,0,2003-10-16
"Bronze Medal",2024-08-03,"Luuc van OPZEELAND","Sailing","Men's Windsurfing","Netherlands",1970505,"Male",0,0,1999-05-21
"Gold Medal",2024-08-03,"Marta MAGGETTI","Sailing","Women's Windsurfing","Italy",1899653,"Female",0,0,1996-01-10
"Silver Medal",2024-08-03,"Sharon KANTOR","Sailing","Women's Windsurfing","Israel",1927733,"Female",0,0,2003-01-28
"Bronze Medal",2024-08-03,"Emma WILSON","Sailing","Women's Windsurfing","Great Britain",1899748,"Female",0,0,1999-04-07
"Gold Medal",2024-08-03,"YANG Jiin","Shooting","25m Pistol Women","Korea",1893995,"Female",0,0,2003-05-20
"Silver Medal",2024-08-03,"Camille JEDRZEJEWSKI","Shooting","25m Pistol Women","France",1888429,"Female",0,0,2002-04-25
"Bronze Medal",2024-08-03,"Veronika MAJOR","Shooting","25m Pistol Women","Hungary",1899493,"Female",0,0,1997-03-19
"Gold Medal",2024-08-03,"Vincent HANCOCK","Shooting","Skeet Men","United States",1944354,"Male",0,0,1989-03-19
"Silver Medal",2024-08-03,"Conner Lynn PRINCE","Shooting","Skeet Men","United States",1944385,"Male",0,0,2000-03-28
"Bronze Medal",2024-08-03,"LEE Meng Yuan","Shooting","Skeet Men","Chinese Taipei",1569852,"Male",0,0,1994-08-25
"Gold Medal",2024-08-03,"Kristof MILAK","Swimming","Men's 100m Butterfly","Hungary",1905860,"Male",0,0,2000-02-20
"Silver Medal",2024-08-03,"Josh LIENDO","Swimming","Men's 100m Butterfly","Canada",1967069,"Male",0,0,2002-08-20
"Bronze Medal",2024-08-03,"Ilya KHARUN","Swimming","Men's 100m Butterfly","Canada",1967058,"Male",0,0,2005-02-07
"Gold Medal",2024-08-03,"Summer McINTOSH","Swimming","Women's 200m Individual Medley","Canada",1967140,"Female",0,0,2006-08-18
"Silver Medal",2024-08-03,"Kate DOUGLASS","Swimming","Women's 200m Individual Medley","United States",1935895,"Female",0,0,2001-11-17
"Bronze Medal",2024-08-03,"Kaylee McKEOWN","Swimming","Women's 200m Individual Medley","Australia",1946198,"Female",0,0,2001-07-12
"Gold Medal",2024-08-03,"Katie LEDECKY","Swimming","Women's 800m Freestyle","United States",1935938,"Female",0,0,1997-03-17
"Silver Medal",2024-08-03,"Ariarne TITMUS","Swimming","Women's 800m Freestyle","Australia",1946150,"Female",0,0,2000-09-07
"Bronze Medal",2024-08-03,"Paige MADDEN","Swimming","Women's 800m Freestyle","United States",1935943,"Female",0,0,1998-10-22
"Gold Medal",2024-08-03,"CHEN Meng","Table Tennis","Women's Singles","China",1902307,"Female",0,0,1994-01-15
"Silver Medal",2024-08-03,"SUN Yingsha","Table Tennis","Women's Singles","China",1902313,"Female",0,0,2000-11-04
"Bronze Medal",2024-08-03,"Hina HAYATA","Table Tennis","Women's Singles","Japan",1931100,"Female",0,0,2000-07-07
"Bronze Medal",2024-08-03,"Lorenzo MUSETTI","Tennis","Men's Singles","Italy",1562400,"Male",185,0,2002-03-03
"Gold Medal",2024-08-03,"ZHENG Qinwen","Tennis","Women's Singles","China",1927709,"Female",178,0,2002-10-08
"Silver Medal",2024-08-03,"Donna VEKIC","Tennis","Women's Singles","Croatia",1554972,"Female",179,0,1996-06-28
"Gold Medal",2024-08-04,"KIM Woojin","Archery","Men's Individual","Korea",1902135,"Male",0,0,1992-06-20
"Silver Medal",2024-08-04,"Brady ELLISON","Archery","Men's Individual","United States",1955595,"Male",0,0,1988-10-27
"Bronze Medal",2024-08-04,"LEE Wooseok","Archery","Men's Individual","Korea",1902144,"Male",0,0,1997-08-07
"Gold Medal",2024-08-04,"LIU Yang","Artistic Gymnastics","Men's Rings","China",1918856,"Male",0,0,1994-08-11
"Silver Medal",2024-08-04,"ZOU Jingyuan","Artistic Gymnastics","Men's Rings","China",1918865,"Male",0,0,1998-01-03
"Bronze Medal",2024-08-04,"Eleftherios PETROUNIAS","Artistic Gymnastics","Men's Rings","Greece",1961314,"Male",0,0,1990-11-30
"Gold Medal",2024-08-04,"Carlos Edriel YULO","Artistic Gymnastics","Men's Vault","Philippines",1975874,"Male",0,0,2000-02-16
"Silver Medal",2024-08-04,"Artur DAVTYAN","Artistic Gymnastics","Men's Vault","Armenia",1915828,"Male",0,0,1992-08-08
"Bronze Medal",2024-08-04,"Harry HEPWORTH","Artistic Gymnastics","Men's Vault","Great Britain",1904740,"Male",0,0,2003-12-06
"Gold Medal",2024-08-04,"Kaylia NEMOUR","Artistic Gymnastics","Women's Uneven Bars","Algeria",1545688,"Female",0,0,2006-12-30
"Silver Medal",2024-08-04,"QIU Qiyuan","Artistic Gymnastics","Women's Uneven Bars","China",1918872,"Female",0,0,2007-05-24
"Bronze Medal",2024-08-04,"Sunisa LEE","Artistic Gymnastics","Women's Uneven Bars","United States",1959866,"Female",0,0,2003-03-09
"Gold Medal",2024-08-04,"Noah LYLES","Athletics","Men's 100m","United States",1960173,"Male",177,0,1997-07-18
"Silver Medal",2024-08-04,"Kishane THOMPSON","Athletics","Men's 100m","Jamaica",1980161,"Male",185,0,2001-07-17
"Bronze Medal",2024-08-04,"Fred KERLEY","Athletics","Men's 100m","United States",1960958,"Male",190,0,1995-05-07
"Gold Medal",2024-08-04,"Ethan KATZBERG","Athletics","Men's Hammer Throw","Canada",1974151,"Male",201,0,2002-04-05
"Silver Medal",2024-08-04,"Bence HALASZ","Athletics","Men's Hammer Throw","Hungary",1916814,"Male",188,0,1997-08-04
"Bronze Medal",2024-08-04,"Mykhaylo KOKHAN","Athletics","Men's Hammer Throw","Ukraine",1571563,"Male",182,0,2001-01-22
"Gold Medal",2024-08-04,"Yaroslava MAHUCHIKH","Athletics","Women's High Jump","Ukraine",1571559,"Female",180,0,2001-09-19
"Silver Medal",2024-08-04,"Nicola OLYSLAGERS","Athletics","Women's High Jump","Australia",1939838,"Female",186,0,1996-12-28
"Bronze Medal",2024-08-04,"Iryna GERASHCHENKO","Athletics","Women's High Jump","Ukraine",1571577,"Female",181,0,1995-03-10
"Bronze Medal",2024-08-04,"Eleanor PATTERSON","Athletics","Women's High Jump","Australia",1939763,"Female",182,0,1996-05-22
"Bronze Medal",2024-08-04,"Gregoria Mariska TUNJUNG","Badminton","Women's Singles","Indonesia",1926315,"Female",166,0,1999-08-11
"Bronze Medal",2024-08-04,"Yunior ALCANTARA REYES","Boxing","Men's 51kg","Dominican Republic",1908817,"Male",155,0,2004-02-10
"Bronze Medal",2024-08-04,"David de PINA","Boxing","Men's 51kg","Cabo Verde",1892464,"Male",163,0,1996-08-07
"Bronze Medal",2024-08-04,"Wyatt SANFORD","Boxing","Men's 63.5kg","Canada",1972293,"Male",173,0,1998-11-03
"Bronze Medal",2024-08-04,"Lasha GURULI","Boxing","Men's 63.5kg","Georgia",1550184,"Male",178,0,1996-08-27
"Bronze Medal",2024-08-04,"Cristian Javier PINALES","Boxing","Men's 80kg","Dominican Republic",1943368,"Male",177,0,2000-11-02
"Bronze Medal",2024-08-04,"Arlen LOPEZ CARDONA","Boxing","Men's 80kg","Cuba",1555548,"Male",170,0,1993-02-21
"Bronze Medal",2024-08-04,"Enmanuel REYES PLA","Boxing","Men's 92kg","Spain",1934790,"Male",191,0,1992-12-14
"Bronze Medal",2024-08-04,"Davlat BOLTAEV","Boxing","Men's 92kg","Tajikistan",1909011,"Male",186,0,1999-01-13
"Bronze Medal",2024-08-04,"PANG Cholmi","Boxing","Women's 54kg","DPR Korea",1980125,"Female",167,0,1994-08-26
"Bronze Medal",2024-08-04,"IM Aeji","Boxing","Women's 54kg","Korea",1891890,"Female",165,0,1999-05-11
"Silver Medal",2024-08-04,"Marianne VOS","Cycling Road","Women's Road Race","Netherlands",1969165,"Female",0,0,1987-05-13
"Gold Medal",2024-08-04,"Jessica von BREDOW-WERNDL","Equestrian","Dressage Individual","Germany",1914905,"Female",0,0,1986-02-16
"Silver Medal",2024-08-04,"Isabell WERTH","Equestrian","Dressage Individual","Germany",1914909,"Female",0,0,1969-07-21
"Bronze Medal",2024-08-04,"Charlotte FRY","Equestrian","Dressage Individual","Great Britain",1970905,"Female",0,0,1996-02-11
"Gold Medal",2024-08-04,"Scottie SCHEFFLER","Golf","Men's Individual Stroke Play","United States",1951724,"Male",193,0,1996-06-21
"Silver Medal",2024-08-04,"Tommy FLEETWOOD","Golf","Men's Individual Stroke Play","Great Britain",1923629,"Male",180,0,1991-01-19
"Bronze Medal",2024-08-04,"MATSUYAMA Hideki","Golf","Men's Individual Stroke Play","Japan",1961406,"Male",180,0,1992-02-25
"Gold Medal",2024-08-04,"Francisca CROVETTO CHADID","Shooting","Skeet Women","Chile",1937878,"Female",0,0,1990-04-27
"Silver Medal",2024-08-04,"Amber Jo RUTTER","Shooting","Skeet Women","Great Britain",1977402,"Female",0,0,1997-08-21
"Bronze Medal",2024-08-04,"Austen Jewell SMITH","Shooting","Skeet Women","United States",1944397,"Female",0,0,2001-07-23
"Gold Medal",2024-08-04,"Bobby FINKE","Swimming","Men's 1500m Freestyle","United States",1935902,"Male",0,0,1999-11-06
"Gold Medal",2024-08-04,"Sarah SJOESTROEM","Swimming","Women's 50m Freestyle","Sweden",1572557,"Female",0,0,1993-08-17
"Silver Medal",2024-08-04,"Meg HARRIS","Swimming","Women's 50m Freestyle","Australia",1946212,"Female",0,0,2002-03-07
"Bronze Medal",2024-08-04,"ZHANG Yufei","Swimming","Women's 50m Freestyle","China",1945125,"Female",0,0,1998-04-19
"Gold Medal",2024-08-04,"FAN Zhendong","Table Tennis","Men's Singles","China",1902295,"Male",0,0,1997-01-22
"Silver Medal",2024-08-04,"Truls MOREGARD","Table Tennis","Men's Singles","Sweden",1563390,"Male",0,0,2002-02-16
"Bronze Medal",2024-08-04,"Felix LEBRUN","Table Tennis","Men's Singles","France",1889177,"Male",0,0,2006-09-12
"Gold Medal",2024-08-04,"Novak DJOKOVIC","Tennis","Men's Singles","Serbia",1956398,"Male",186,0,1987-05-22
"Silver Medal",2024-08-04,"Carlos ALCARAZ","Tennis","Men's Singles","Spain",1563682,"Male",183,0,2003-05-05
"Gold Medal",2024-08-05,"OKA Shinnosuke","Artistic Gymnastics","Men's Horizontal Bar","Japan",1919480,"Male",0,0,2003-10-31
"Silver Medal",2024-08-05,"Angel BARAJAS","Artistic Gymnastics","Men's Horizontal Bar","Colombia",1935685,"Male",0,0,2006-08-12
"Bronze Medal",2024-08-05,"ZHANG Boheng","Artistic Gymnastics","Men's Horizontal Bar","China",1918864,"Male",0,0,2000-03-04
"Bronze Medal",2024-08-05,"TANG Chia-Hung","Artistic Gymnastics","Men's Horizontal Bar","Chinese Taipei",1878037,"Male",0,0,1996-09-23
"Gold Medal",2024-08-05,"ZOU Jingyuan","Artistic Gymnastics","Men's Parallel Bars","China",1918865,"Male",0,0,1998-01-03
"Silver Medal",2024-08-05,"Illia KOVTUN","Artistic Gymnastics","Men's Parallel Bars","Ukraine",1897555,"Male",0,0,2003-08-10
"Bronze Medal",2024-08-05,"OKA Shinnosuke","Artistic Gymnastics","Men's Parallel Bars","Japan",1919480,"Male",0,0,2003-10-31
"Gold Medal",2024-08-05,"Alice D'AMATO","Artistic Gymnastics","Women's Balance Beam","Italy",1551061,"Female",0,0,2003-02-07
"Silver Medal",2024-08-05,"ZHOU Yaqin","Artistic Gymnastics","Women's Balance Beam","China",1918881,"Female",0,0,2005-11-12
"Bronze Medal",2024-08-05,"Manila ESPOSITO","Artistic Gymnastics","Women's Balance Beam","Italy",1560762,"Female",0,0,2006-11-02
"Gold Medal",2024-08-05,"Rebeca ANDRADE","Artistic Gymnastics","Women's Floor Exercise","Brazil",1953634,"Female",0,0,1999-05-08
"Silver Medal",2024-08-05,"Simone BILES","Artistic Gymnastics","Women's Floor Exercise","United States",1959861,"Female",0,0,1997-03-14
"Bronze Medal",2024-08-05,"Ana BARBOSU","Artistic Gymnastics","Women's Floor Exercise","Romania",1550170,"Female",0,0,2006-07-26
"Gold Medal",2024-08-05,"Armand DUPLANTIS","Athletics","Men's Pole Vault","Sweden",1569203,"Male",181,0,1999-11-10
"Silver Medal",2024-08-05,"Sam KENDRICKS","Athletics","Men's Pole Vault","United States",1960178,"Male",185,0,1992-09-07
"Bronze Medal",2024-08-05,"Emmanouil KARALIS","Athletics","Men's Pole Vault","Greece",1961218,"Male",184,0,1999-10-20
"Gold Medal",2024-08-05,"Beatrice CHEBET","Athletics","Women's 5000m","Kenya",1910560,"Female",152,0,2000-03-05
"Silver Medal",2024-08-05,"Faith KIPYEGON","Athletics","Women's 5000m","Kenya",1910451,"Female",152,0,1994-01-10
"Bronze Medal",2024-08-05,"Sifan HASSAN","Athletics","Women's 5000m","Netherlands",1972105,"Female",170,0,1993-01-01
"Gold Medal",2024-08-05,"Keely HODGKINSON","Athletics","Women's 800m","Great Britain",1924429,"Female",170,0,2002-03-03
"Silver Medal",2024-08-05,"Tsige DUGUMA","Athletics","Women's 800m","Ethiopia",1536498,"Female",164,0,2001-02-23
"Bronze Medal",2024-08-05,"Mary MORAA","Athletics","Women's 800m","Kenya",1928047,"Female",170,0,2000-06-15
"Gold Medal",2024-08-05,"Valarie ALLMAN","Athletics","Women's Discus Throw","United States",1960721,"Female",185,0,1995-02-23
"Silver Medal",2024-08-05,"FENG Bin","Athletics","Women's Discus Throw","China",1919067,"Female",182,0,1994-04-03
"Bronze Medal",2024-08-05,"Sandra ELKASEVIC","Athletics","Women's Discus Throw","Croatia",1922205,"Female",183,0,1990-06-21
"Gold Medal",2024-08-05,"Viktor AXELSEN","Badminton","Men's Singles","Denmark",1888993,"Male",194,0,1994-01-04
"Silver Medal",2024-08-05,"Kunlavut VITIDSARN","Badminton","Men's Singles","Thailand",1926294,"Male",177,0,2001-05-11
"Bronze Medal",2024-08-05,"Zii Jia LEE","Badminton","Men's Singles","Malaysia",1566617,"Male",186,0,1998-03-29
"Gold Medal",2024-08-05,"AN Se Young","Badminton","Women's Singles","Korea",1891498,"Female",170,0,2002-02-05
"Silver Medal",2024-08-05,"HE Bing Jiao","Badminton","Women's Singles","China",1913436,"Female",169,0,1997-03-21
"Gold Medal",2024-08-05,"Finn BUTCHER","Canoe Slalom","Men's Kayak Cross","New Zealand",1945386,"Male",0,0,1995-03-17
"Silver Medal",2024-08-05,"Joseph CLARKE","Canoe Slalom","Men's Kayak Cross","Great Britain",1896032,"Male",0,0,1992-11-03
"Bronze Medal",2024-08-05,"Noah HEGGE","Canoe Slalom","Men's Kayak Cross","Germany",1913780,"Male",0,0,1999-03-15
"Gold Medal",2024-08-05,"Noemie FOX","Canoe Slalom","Women's Kayak Cross","Australia",1940209,"Female",0,0,1997-03-19
"Silver Medal",2024-08-05,"Angele HUG","Canoe Slalom","Women's Kayak Cross","France",1880483,"Female",0,0,2000-07-30
"Bronze Medal",2024-08-05,"Kimberley WOODS","Canoe Slalom","Women's Kayak Cross","Great Britain",1896045,"Female",0,0,1995-09-08
"Gold Medal",2024-08-05,"LI Yuehong","Shooting","25m Rapid Fire Pistol Men","China",1913913,"Male",0,0,1989-08-28
"Silver Medal",2024-08-05,"CHO Yeongjae","Shooting","25m Rapid Fire Pistol Men","Korea",1893852,"Male",0,0,1999-01-15
"Bronze Medal",2024-08-05,"WANG Xinjie","Shooting","25m Rapid Fire Pistol Men","China",1913919,"Male",0,0,1996-10-24
"Gold Medal",2024-08-05,"Kauli VAAST","Surfing","Men","France",1567361,"Male",0,0,2002-02-26
"Silver Medal",2024-08-05,"Jack ROBINSON","Surfing","Men","Australia",1946129,"Male",0,0,1997-12-27
"Bronze Medal",2024-08-05,"Gabriel MEDINA","Surfing","Men","Brazil",1955778,"Male",0,0,1993-12-22
"Gold Medal",2024-08-05,"Caroline MARKS","Surfing","Women","United States",1943206,"Female",0,0,2002-02-14
"Silver Medal",2024-08-05,"Tatiana WESTON-WEBB","Surfing","Women","Brazil",1955783,"Female",0,0,1996-05-09
"Bronze Medal",2024-08-05,"Johanne DEFAY","Surfing","Women","France",1567359,"Female",0,0,1993-11-19
"Gold Medal",2024-08-06,"Cole HOCKER","Athletics","Men's 1500m","United States",1960933,"Male",177,0,2001-06-06
"Silver Medal",2024-08-06,"Josh KERR","Athletics","Men's 1500m","Great Britain",1924440,"Male",187,0,1997-10-08
"Bronze Medal",2024-08-06,"Yared NUGUSE","Athletics","Men's 1500m","United States",1965327,"Male",185,0,1999-06-01
"Gold Medal",2024-08-06,"Miltiadis TENTOGLOU","Athletics","Men's Long Jump","Greece",1961246,"Male",185,0,1998-03-18
"Silver Medal",2024-08-06,"Wayne PINNOCK","Athletics","Men's Long Jump","Jamaica",1938899,"Male",178,0,2000-10-24
"Bronze Medal",2024-08-06,"Mattia FURLANI","Athletics","Men's Long Jump","Italy",1552378,"Male",183,0,2005-02-07
"Gold Medal",2024-08-06,"Gabrielle THOMAS","Athletics","Women's 200m","United States",1965868,"Female",177,0,1996-12-07
"Silver Medal",2024-08-06,"Julien ALFRED","Athletics","Women's 200m","Saint Lucia",1537325,"Female",170,0,2001-06-10
"Bronze Medal",2024-08-06,"Brittany BROWN","Athletics","Women's 200m","United States",1960588,"Female",162,0,1995-04-18
"Gold Medal",2024-08-06,"Winfred YAVI","Athletics","Women's 3000m Steeplechase","Bahrain",1926102,"Female",159,0,1999-12-31
"Silver Medal",2024-08-06,"Peruth CHEMUTAI","Athletics","Women's 3000m Steeplechase","Uganda",1971686,"Female",163,0,1999-07-10
"Bronze Medal",2024-08-06,"Faith CHEROTICH","Athletics","Women's 3000m Steeplechase","Kenya",1910453,"Female",167,0,2004-07-13
"Gold Medal",2024-08-06,"Camryn ROGERS","Athletics","Women's Hammer Throw","Canada",1974290,"Female",167,0,1999-06-07
"Silver Medal",2024-08-06,"Annette Nneka ECHIKUNWOKE","Athletics","Women's Hammer Throw","United States",1960899,"Female",182,0,1996-07-29
"Bronze Medal",2024-08-06,"ZHAO Jie","Athletics","Women's Hammer Throw","China",1919077,"Female",183,0,2002-10-13
"Bronze Medal",2024-08-06,"Omari JONES","Boxing","Men's 71kg","United States",1955645,"Male",180,0,2002-11-07
"Bronze Medal",2024-08-06,"Lewis RICHARDSON","Boxing","Men's 71kg","Great Britain",1912009,"Male",187,0,1997-06-04
"Bronze Medal",2024-08-06,"Nazym KYZAIBAY","Boxing","Women's 50kg","Kazakhstan",1931331,"Female",160,0,1993-09-14
"Bronze Medal",2024-08-06,"Aira VILLEGAS","Boxing","Women's 50kg","Philippines",1979870,"Female",158,0,1995-08-01
"Gold Medal",2024-08-06,"Kellie HARRINGTON","Boxing","Women's 60kg","Ireland",1555098,"Female",169,0,1989-12-11
"Silver Medal",2024-08-06,"YANG Wenlu","Boxing","Women's 60kg","China",1926828,"Female",173,0,1991-01-13
"Bronze Medal",2024-08-06,"Janjaem SUWANNAPHENG","Boxing","Women's 66kg","Thailand",1898283,"Female",170,0,2000-09-25
"Bronze Medal",2024-08-06,"CHEN Nien Chin","Boxing","Women's 66kg","Chinese Taipei",1887975,"Female",170,0,1997-05-10
"Gold Medal",2024-08-06,"QUAN Hongchan","Diving","Women's 10m Platform","China",1901545,"Female",0,0,2007-03-28
"Silver Medal",2024-08-06,"CHEN Yuxi","Diving","Women's 10m Platform","China",1901544,"Female",0,0,2005-09-11
"Bronze Medal",2024-08-06,"KIM Mi Rae","Diving","Women's 10m Platform","DPR Korea",1980115,"Female",0,0,2001-04-07
"Gold Medal",2024-08-06,"Christian KUKUK","Equestrian","Jumping Individual","Germany",1914912,"Male",0,0,1990-03-04
"Silver Medal",2024-08-06,"Steve GUERDAT","Equestrian","Jumping Individual","Switzerland",1976553,"Male",0,0,1982-06-10
"Bronze Medal",2024-08-06,"Maikel van der VLEUTEN","Equestrian","Jumping Individual","Netherlands",1976879,"Male",0,0,1988-02-10
"Gold Medal",2024-08-06,"Arisa TREW","Skateboarding","Women's Park","Australia",1946064,"Female",0,0,2010-05-12
"Silver Medal",2024-08-06,"HIRAKI Cocona","Skateboarding","Women's Park","Japan",1902075,"Female",0,0,2008-08-26
"Bronze Medal",2024-08-06,"Sky BROWN","Skateboarding","Women's Park","Great Britain",1544123,"Female",0,0,2008-07-07
"Gold Medal",2024-08-06,"Mijain LOPEZ NUNEZ","Wrestling","Men's Greco-Roman 130kg","Cuba",1571506,"Male",0,0,1982-08-20
